Date : 2026-04-17 15:40:49
Directory : /home/sachin-kumar/Desktop/coding/1
Total : 65 files,  8287 codes, 216 comments, 936 blanks, all 9439 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          2 |      3,135 |          0 |          2 |      3,137 |
| Go               |         31 |      1,676 |        164 |        408 |      2,248 |
| CSS              |          6 |      1,191 |          0 |        174 |      1,365 |
| HTML             |          4 |        881 |          0 |        108 |        989 |
| JavaScript       |          9 |        864 |         41 |        165 |      1,070 |
| JavaScript JSX   |          2 |        200 |          6 |         20 |        226 |
| C++              |          3 |        118 |          5 |         34 |        157 |
| Go Checksum File |          1 |        106 |          0 |          1 |        107 |
| Go Module File   |          1 |         49 |          0 |          4 |         53 |
| Makefile         |          1 |         31 |          0 |         10 |         41 |
| XML              |          4 |         27 |          0 |          2 |         29 |
| Markdown         |          1 |          9 |          0 |          8 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |         65 |      8,287 |        216 |        936 |      9,439 |
| . (Files)                                                                      |         17 |      2,739 |         40 |        402 |      3,181 |
| cmd                                                                            |          1 |         65 |         14 |         20 |         99 |
| cmd/sovereign                                                                  |          1 |         65 |         14 |         20 |         99 |
| internal                                                                       |         13 |        748 |         59 |        182 |        989 |
| internal/api                                                                   |          2 |        121 |          4 |         24 |        149 |
| internal/models                                                                |          2 |         77 |         18 |         22 |        117 |
| internal/orchestrator                                                          |          3 |        268 |         21 |         64 |        353 |
| internal/storage                                                               |          2 |        102 |          7 |         24 |        133 |
| internal/titan                                                                 |          4 |        180 |          9 |         48 |        237 |
| internal/titan (Files)                                                         |          1 |         62 |          4 |         14 |         80 |
| internal/titan/cpp                                                             |          2 |         66 |          3 |         23 |         92 |
| internal/titan/wasm                                                            |          1 |         52 |          2 |         11 |         65 |
| pkg                                                                            |         19 |        978 |         94 |        237 |      1,309 |
| pkg/capabilities                                                               |          1 |         41 |          5 |          8 |         54 |
| pkg/config                                                                     |          2 |         84 |          8 |         22 |        114 |
| pkg/errors                                                                     |          2 |         87 |          7 |         21 |        115 |
| pkg/etl                                                                        |          2 |        110 |         11 |         28 |        149 |
| pkg/logger                                                                     |          2 |        103 |         11 |         21 |        135 |
| pkg/metrics                                                                    |          2 |         47 |          9 |         14 |         70 |
| pkg/p2p                                                                        |          2 |        214 |         13 |         42 |        269 |
| pkg/sandbox                                                                    |          2 |         77 |          8 |         23 |        108 |
| pkg/security                                                                   |          2 |        108 |         16 |         29 |        153 |
| pkg/vector                                                                     |          2 |        107 |          6 |         29 |        142 |
| web                                                                            |         15 |      3,757 |          9 |         95 |      3,861 |
| web (Files)                                                                    |          1 |          3 |          2 |          3 |          8 |
| web/admin                                                                      |         14 |      3,754 |          7 |         92 |      3,853 |
| web/admin (Files)                                                              |          6 |      3,190 |          1 |         15 |      3,206 |
| web/admin/public                                                               |          2 |         25 |          0 |          1 |         26 |
| web/admin/src                                                                  |          6 |        539 |          6 |         76 |        621 |
| web/admin/src (Files)                                                          |          4 |        537 |          6 |         75 |        618 |
| web/admin/src/assets                                                           |          2 |          2 |          0 |          1 |          3 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/sachin-kumar/Desktop/coding/1/Engine.js                                  | JavaScript       |         65 |          1 |         20 |         86 |
| /home/sachin-kumar/Desktop/coding/1/Makefile                                   | Makefile         |         31 |          0 |         10 |         41 |
| /home/sachin-kumar/Desktop/coding/1/Tower.js                                   | JavaScript       |        198 |         11 |         33 |        242 |
| /home/sachin-kumar/Desktop/coding/1/chat-simple.html                           | HTML             |        277 |          0 |         36 |        313 |
| /home/sachin-kumar/Desktop/coding/1/chat-simple.js                             | JavaScript       |         67 |          3 |         15 |         85 |
| /home/sachin-kumar/Desktop/coding/1/chat.css                                   | CSS              |        276 |          0 |         37 |        313 |
| /home/sachin-kumar/Desktop/coding/1/chat.html                                  | HTML             |         95 |          0 |          8 |        103 |
| /home/sachin-kumar/Desktop/coding/1/chat.js                                    | JavaScript       |        189 |          8 |         44 |        241 |
| /home/sachin-kumar/Desktop/coding/1/cmd/sovereign/main.go                      | Go               |         65 |         14 |         20 |         99 |
| /home/sachin-kumar/Desktop/coding/1/go.mod                                     | Go Module File   |         49 |          0 |          4 |         53 |
| /home/sachin-kumar/Desktop/coding/1/go.sum                                     | Go Checksum File |        106 |          0 |          1 |        107 |
| /home/sachin-kumar/Desktop/coding/1/index.html                                 | HTML             |        496 |          0 |         63 |        559 |
| /home/sachin-kumar/Desktop/coding/1/internal/api/hub.go                        | Go               |         82 |          2 |         17 |        101 |
| /home/sachin-kumar/Desktop/coding/1/internal/api/telemetry.go                  | Go               |         39 |          2 |          7 |         48 |
| /home/sachin-kumar/Desktop/coding/1/internal/models/interfaces.go              | Go               |         18 |         10 |         10 |         38 |
| /home/sachin-kumar/Desktop/coding/1/internal/models/models.go                  | Go               |         59 |          8 |         12 |         79 |
| /home/sachin-kumar/Desktop/coding/1/internal/orchestrator/dispatcher.go        | Go               |         38 |          5 |         11 |         54 |
| /home/sachin-kumar/Desktop/coding/1/internal/orchestrator/orchestrator.go      | Go               |        167 |         12 |         33 |        212 |
| /home/sachin-kumar/Desktop/coding/1/internal/orchestrator/orchestrator_test.go | Go               |         63 |          4 |         20 |         87 |
| /home/sachin-kumar/Desktop/coding/1/internal/storage/storage.go                | Go               |         66 |          7 |         15 |         88 |
| /home/sachin-kumar/Desktop/coding/1/internal/storage/storage_test.go           | Go               |         36 |          0 |          9 |         45 |
| /home/sachin-kumar/Desktop/coding/1/internal/titan/cpp/titan_engine.cpp        | C++              |         42 |          1 |         13 |         56 |
| /home/sachin-kumar/Desktop/coding/1/internal/titan/cpp/titan_engine.h          | C++              |         24 |          2 |         10 |         36 |
| /home/sachin-kumar/Desktop/coding/1/internal/titan/engine.go                   | Go               |         62 |          4 |         14 |         80 |
| /home/sachin-kumar/Desktop/coding/1/internal/titan/wasm/graphics.cpp           | C++              |         52 |          2 |         11 |         65 |
